Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
intra-Golgi Vesicle-Mediated Transport (GO:0006891)	1/33	0.9999909318735277	0.9999966048853383	0	0	0.07115747579189234	6.452679156188995E-7	RAB6D
Positive Regulation of Notch Signaling Pathway (GO:0045747)	1/33	0.9999909318735277	0.9999966048853383	0	0	0.07115747579189234	6.452679156188995E-7	NOTCH2NLB
Negative Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010972)	1/33	0.9999909318735277	0.9999966048853383	0	0	0.07115747579189234	6.452679156188995E-7	SERPINA2
Positive Regulation of Cell Development (GO:0010720)	1/33	0.9999909318735277	0.9999966048853383	0	0	0.07115747579189234	6.452679156188995E-7	ARMCX5-GPRASP2
Positive Regulation of DNA-templated Transcription (GO:0045893)	5/1274	0.9999914103760518	0.9999966048853383	0	0	0.008177233396760762	7.023966148165106E-8	LBHD1;SMIM29;DUX1;RNASE12;ZFY
Regulation of Gene Expression (GO:0010468)	10/1127	0.9999916378905599	0.9999966048853383	0	0	0.018818898889141986	1.5736635001156254E-7	TRIM43B;DDX3Y;KDM5D;RFPL2;HMHB1;ZNF723;UTY;RBMY1C;OR7D2;BUB1B-PAK6
Negative Regulation of DNA-templated Transcription (GO:0045892)	4/1006	0.999991847425995	0.9999966048853383	0	0	0.008458616428882793	6.89597775165492E-8	SARS1;SMIM29;TGIF2LY;MBD3L2B
Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)	2/983	0.9999918899206104	0.9999966048853383	0	0	0.004325453478200049	3.507991335490751E-8	DUX1;ZFY
Defense Response to Fungus (GO:0050832)	2/42	0.9999922770015365	0.9999966048853383	0	0	0.11380499015101773	8.789191580274534E-7	DEFB136;DEFB106A
Regulation of Cell Population Proliferation (GO:0042127)	6/769	0.9999923374536644	0.9999966048853383	0	0	0.016976438190075487	1.3008324262915717E-7	TMIGD3;CCL3L1;NANOGP8;CDPF1;BRICD5;SMIM22
Negative Regulation of Transcription by RNA Polymerase II (GO:0000122)	3/732	0.9999924263340222	0.9999966048853383	0	0	0.008902698645306135	6.742632117320231E-8	SARS1;TGIF2LY;MBD3L2B
Regulation of Apoptotic Process (GO:0042981)	15/704	0.999992496394745	0.9999966048853383	0	0	0.04733395393167513	3.551766380174976E-7	USP17L15;NLRP2B;USP17L17;USP17L19;USP17L21;USP17L20;USP17L12;USP17L3;USP17L22;USP17L13;USP17L7;USP17L4;PLSCR3;USP17L8;PANO1
Positive Regulation of Cellular Process (GO:0048522)	3/622	0.9999927172821341	0.9999966048853383	0	0	0.010572286927745563	7.69952632595814E-8	NANOGP8;PRSS2;HDGFL2
Protein Metabolic Process (GO:0019538)	4/614	0.9999927402236041	0.9999966048853383	0	0	0.01431640151821045	1.0393425108671748E-7	SARS1;RPS4Y2;RPS4Y1;PRSS2
Regulation of Developmental Growth (GO:0048638)	1/34	0.99999276465841	0.9999966048853383	0	0	0.0689962152295978	4.992129915918655E-7	SPAAR
Regulation of Response to Biotic Stimulus (GO:0002831)	1/34	0.99999276465841	0.9999966048853383	0	0	0.0689962152295978	4.992129915918655E-7	CD300H
Regulation of DNA Damage Response, Signal Transduction by P53 Class Mediator (GO:0043516)	1/34	0.99999276465841	0.9999966048853383	0	0	0.0689962152295978	4.992129915918655E-7	SERPINA2
Regulation of Cell Cycle Phase Transition (GO:1901987)	1/34	0.99999276465841	0.9999966048853383	0	0	0.0689962152295978	4.992129915918655E-7	CDPF1
Positive Regulation of RNA Biosynthetic Process (GO:1902680)	3/555	0.9999929184486306	0.9999966048853383	0	0	0.011915299122725619	8.437910158734437E-8	LBHD1;SMIM29;RNASE12
Protein Modification Process (GO:0036211)	1/545	0.99999295035978	0.9999966048853383	0	0	0.004031265386509109	2.841907077855854E-8	C20ORF173
Negative Regulation of Cellular Process (GO:0048523)	4/531	0.999992995913936	0.9999966048853383	0	0	0.016674612002754382	1.167908265584424E-7	TMIGD3;NLRP2B;CCL3L1;CDPF1
Positive Regulation of Cell Population Proliferation (GO:0008284)	2/484	0.9999931570896837	0.9999966048853383	0	0	0.009143342878082404	6.256728937707695E-8	NANOGP8;CDPF1
Nervous System Development (GO:0007399)	1/480	0.9999931714884575	0.9999966048853383	0	0	0.004600576930918022	3.1415199934788903E-8	PLPPR1
Regulation of Cell Migration (GO:0030334)	5/479	0.9999931750687844	0.9999966048853383	0	0	0.023269463575805577	1.588130302738917E-7	TMIGD3;CCL3L1;TMSB4Y;FIGNL2;SMIM22
Negative Regulation of Apoptotic Process (GO:0043066)	1/475	0.999993189609689	0.9999966048853383	0	0	0.004650837476221243	3.167412634293395E-8	ARMCX5-GPRASP2
Negative Regulation of RNA Biosynthetic Process (GO:1902679)	1/470	0.9999932078730083	0.9999966048853383	0	0	0.004702169674942443	3.193784203192441E-8	SMIM29
Regulation of RNA Biosynthetic Process (GO:2001141)	4/465	0.9999932263427889	0.9999966048853383	0	0	0.019155900822442822	1.2975594520335678E-7	KDM5D;ZNF723;OR7D2;BUB1B-PAK6
Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	9/455	0.9999932638502744	0.9999966048853383	0	0	0.044636704975478184	3.00680540686734E-7	PRAMEF27;PRAMEF18;PRAMEF13;PRAMEF26;PRAMEF15;PRAMEF33;PRAMEF22;UBAP1L;UBE2L5
